,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
377,Shuyskoye,12,RU,1529374352,75,59.37,41.03,68.49,6.87
378,Sol-Iletsk,56,RU,1529374353,48,51.16,55,65.61,4.52
379,Vostok,56,RU,1529374353,56,46.45,135.83,72.81,6.87
380,Jiayuguan,44,CN,1529374353,69,39.77,98.29,63.63,4.52
381,Takoradi,92,GH,1529374354,100,4.89,-1.75,75.6,12.46
382,Esna,0,RO,1529374354,94,45.2,27.57,60.39,6.42
383,Piranshahr,0,IR,1529374354,55,36.7,45.14,52.02,1.28
384,Agirish,88,RU,1529374354,69,61.92,63.02,59.58,8.77
385,Arzamas,32,RU,1529374355,67,55.4,43.84,69.93,3.62
386,Zharkent,92,KZ,1529374355,43,44.17,80,65.88,2.17
387,Mendi,92,ET,1529374355,99,9.8,35.1,59.31,3.85
388,Farah,0,AF,1529374356,11,32.37,62.11,86.22,7.54
389,Keti Bandar,8,PK,1529374356,97,24.14,67.45,84.96,18.84
390,Olinda,75,EC,1529373600,78,-2.03,-79.75,75.2,12.75
391,Rocha,0,UY,1529374357,77,-34.48,-54.34,36.81,5.19
392,Tyubuk,76,RU,1529374357,100,56.05,60.94,57.24,6.76
393,Baijiantan,0,CN,1529374357,40,45.63,85.18,83.25,4.74
394,Berdigestyakh,92,RU,1529374357,50,62.1,126.7,64.8,4.97
395,Sire,0,ET,1529374358,87,8.28,39.49,51.84,4.41
396,Sapele,92,NG,1529374358,96,5.89,5.68,75.6,8.32
397,Tibiri,0,NE,1529374358,74,13.59,7.06,79.2,18.05
398,Bo Phloi,8,TH,1529374359,61,14.32,99.52,88.38,8.55
399,Danilovka,0,RU,1529374359,48,50.35,44.12,65.16,2.95
400,Baruun-Urt,0,MN,1529374334,62,46.68,113.28,68.85,9.1
401,Sao Joao da Barra,56,BR,1529374360,100,-21.64,-41.05,73.08,15.26
402,Purpe,100,RU,1529374360,100,64.48,76.69,58.41,9.66
403,Beisfjord,12,NO,1529374360,87,68.38,17.6,45.54,2.39
404,Filingue,0,NE,1529374361,58,14.35,3.32,83.16,15.26
405,Diffa,0,NE,1529374361,52,13.32,12.61,82.26,14.81
406,Aracati,92,BR,1529374083,98,-4.56,-37.77,72.27,5.75
407,Cotonou,40,BJ,1529370000,83,6.37,2.43,77,11.41
408,Bambui,88,CM,1529374362,99,6.01,10.23,61.65,2.62
409,Yilan,75,TW,1529371860,63,24.75,121.75,93.2,3.36
410,Leh,12,IN,1529374364,100,34.16,77.58,28.71,2.06
411,Zalesovo,32,RU,1529374364,63,54,84.74,75.06,4.97
412,Ajdabiya,0,LY,1529374364,94,30.75,20.22,63.9,5.86
413,Pithiviers,0,FR,1529371800,93,48.17,2.25,64.4,6.93
414,Jutai,12,BR,1529374359,100,-1.71,-47.89,71.82,2.51
415,Krabi,40,TH,1529371800,88,8.06,98.92,84.2,5.82
416,Mahon,75,IE,1529373600,93,51.89,-8.4,55.4,2.24
417,Nanzhou,90,TW,1529371800,88,22.49,120.51,80.6,8.05
418,Pathein,92,MM,1529374289,100,16.78,94.73,75.51,9.22
419,Innsbruck,75,AT,1529371200,87,47.27,11.39,55.4,1.12
420,Bondo,92,CD,1529374367,100,3.81,23.69,66.96,4.97
421,Mae Sai,90,MM,1529370000,100,20.44,99.89,78.8,3.36
422,Vung Tau,75,VN,1529371800,83,10.35,107.08,84.2,11.41
423,Nezhinka,20,RU,1529371800,76,51.77,55.37,53.6,4.47
424,Bushehr,0,IR,1529370000,49,28.97,50.84,89.6,11.41
425,Strezhevoy,75,RU,1529371800,100,60.73,77.6,57.2,4.47
426,Kudahuvadhoo,36,MV,1529374369,100,2.67,72.89,82.53,6.53
427,Trapani,20,IT,1529371200,83,38.02,12.54,73.4,5.82
428,Mari-Turek,0,RU,1529374370,52,56.79,49.62,67.23,4.97
429,Dumabato,20,PH,1529374370,70,16.32,121.7,87.39,4.18
430,Jacareacanga,48,BR,1529374370,89,-6.22,-57.76,74.88,3.06
431,Awjilah,0,LY,1529374371,80,29.14,21.3,66.51,6.2
432,Bossangoa,92,CF,1529374371,95,6.5,17.45,70.83,8.66
433,Ziro,92,IN,1529374371,97,27.54,93.82,65.79,1.61
434,Sao Jose da Coroa Grande,100,BR,1529374372,84,-8.9,-35.15,75.6,6.87
435,Yamada,40,JP,1529370000,51,36.58,137.08,84.2,4.7
436,Suluq,40,LY,1529369880,82,31.67,20.25,66.2,4.18
437,Magocs,64,HU,1529374373,66,46.35,18.23,68.76,7.99
438,Zhezkazgan,0,KZ,1529371800,47,47.8,67.71,59,8.95
439,Zalantun,64,CN,1529374373,81,48,122.72,70.65,3.62
440,Sechura,0,PE,1529374374,93,-5.56,-80.82,65.7,8.77
441,Moyale,92,ET,1529374374,97,3.52,39.05,64.17,4.18
442,Sao Felix do Xingu,12,BR,1529374374,65,-6.64,-51.99,78.39,1.72
443,Qorveh,0,IR,1529374375,64,35.17,47.8,53.46,2.62
444,Lanxi,80,CN,1529374375,83,29.21,119.46,80.37,3.29
445,Malayal,75,PH,1529370000,74,7.21,121.94,86,3.18
446,Vengerovo,8,RU,1529374376,96,55.68,76.74,60.75,5.86
447,Thinadhoo,76,MV,1529374376,100,0.53,72.93,82.71,7.31
448,Araceli,0,PH,1529374376,100,10.55,119.99,85.41,8.77
449,Mago,100,RU,1529374377,74,53.27,140.15,58.77,7.43
450,Bilisht,0,AL,1529374377,100,40.62,20.99,53.1,2.62
451,Koltubanovskiy,0,RU,1529374377,42,52.94,52.03,66.96,4.41
452,Imbituba,75,BR,1529373600,93,-28.24,-48.67,60.8,7.43
453,Kjollefjord,0,NO,1529374378,89,70.95,27.35,53.73,11.12
454,Coihaique,20,CL,1529373600,93,-45.58,-72.07,39.2,12.75
455,Sillamae,0,EE,1529374378,88,59.4,27.75,58.59,11.45
456,Abha,5,SA,1529370000,24,18.22,42.5,71.6,2.17
457,Perumpavur,75,IN,1529370000,94,10.13,76.48,77,5.97
458,Darnah,0,LY,1529374379,100,32.77,22.64,74.07,10.33
459,Porto Walter,0,BR,1529374380,86,-8.27,-72.74,66.42,2.95
460,Shenkursk,64,RU,1529374380,57,62.11,42.91,68.31,4.18
461,San Vicente,20,SV,1529373000,94,13.64,-88.78,82.4,4.7
462,Lensk,32,RU,1529374383,59,60.71,114.91,68.22,3.62
463,Pushkino,0,RU,1529371800,72,56.01,37.85,64.4,4.47
464,Klyuchi,92,RU,1529374383,99,52.25,79.17,60.75,7.54
465,Nur,48,PL,1529374384,59,52.67,22.32,65.52,3.4
466,Presidente Medici,0,BR,1529374384,79,-11.18,-61.9,67.68,3.74
467,Pirenopolis,0,BR,1529370000,59,-15.85,-48.96,62.6,9.17
468,Uga,88,NG,1529374385,98,7.28,8.67,72,8.1
469,Ilo,56,PE,1529374385,100,-17.65,-71.34,56.97,2.62
470,Lufilufi,92,WS,1529374385,100,-13.87,-171.6,80.91,13.8
471,Salvacion,8,PH,1529374386,100,13.85,121.93,85.77,2.73
472,Terrak,92,NO,1529373000,100,65.09,12.37,46.4,6.93
473,Muzhi,88,RU,1529374386,98,65.4,64.7,45.99,12.68
474,Shingu,75,JP,1529370000,88,33.72,135.99,69.8,4.7
475,Wajir,24,KE,1529374387,64,1.75,40.07,75.6,11.79
476,Zheleznodorozhnyy,0,RU,1529371800,82,55.75,38,64.4,2.24
477,Samsun,75,TR,1529369400,93,41.29,36.33,60.8,3.96
478,Itupiranga,0,BR,1529373600,88,-5.13,-49.33,73.4,2.24
479,Villa Maria,40,CO,1529370000,71,4.5,-74.09,55.4,8.05
480,Bilma,0,NE,1529374388,19,18.69,12.92,77.67,7.31
481,Adre,68,TD,1529374389,92,13.47,22.2,72.09,8.21
482,Mandalgovi,8,MN,1529374389,50,45.76,106.27,67.86,4.63
483,Rio Gallegos,0,AR,1529373600,64,-51.62,-69.22,35.6,18.34
484,Hobyo,8,SO,1529374389,87,5.35,48.53,74.7,18.16
485,Rafraf,20,TN,1529371800,72,37.19,10.18,68,8.05
486,Urucara,68,BR,1529374113,95,-2.54,-57.76,75.24,3.06
487,Comodoro Rivadavia,0,AR,1529373600,50,-45.87,-67.48,53.6,13.87
488,Nalut,0,LY,1529374391,68,31.86,10.98,64.53,5.97
489,Namie,75,JP,1529370000,100,37.52,140.86,69.8,3.36
490,Grivenskaya,0,RU,1529374392,62,45.65,38.16,67.41,3.4
491,Nysa,0,PL,1529374392,83,50.47,17.33,55.62,4.18
492,Frutigen,0,CH,1529371200,100,46.59,7.64,62.6,1.12
493,Orzu,12,RO,1529374392,93,44.77,23.24,60.03,2.95
494,Villa Carlos Paz,0,AR,1529373600,62,-31.42,-64.5,51.8,11.41
495,Monopoli,0,IT,1529371200,73,40.95,17.3,75.2,10.29
496,Avera,1,US,1529372100,83,33.19,-82.53,87.8,4.7
497,Panzhihua,24,CN,1529374394,82,26.59,101.72,75.33,2.95
498,Ishigaki,75,JP,1529371440,84,24.34,124.16,86,23.04
499,Villarrica,88,CL,1529374394,100,-39.28,-72.23,45.9,2.17
500,Ronne,0,FR,1529371800,87,48.45,0.83,62.6,9.17
501,Vanimo,32,PG,1529374395,100,-2.67,141.3,80.1,3.18
502,Haradok,24,BY,1529374395,84,55.46,29.99,62.91,4.97
503,Pitimbu,75,BR,1529373600,94,-7.47,-34.81,73.4,3.36
504,Tilichiki,0,RU,1529374396,73,60.47,166.1,53.19,7.99
505,Anadyr,0,RU,1529371800,35,64.73,177.51,55.4,8.95
506,Prainha,80,BR,1529374190,88,-1.8,-53.48,77.4,4.18
507,Erdenet,0,MN,1529374398,59,49.03,104.04,66.96,6.64
508,Bintulu,75,MY,1529370000,83,3.17,113.03,84.2,3.36
509,Massakory,0,TD,1529374399,58,13,15.73,80.46,10.11
510,Sena Madureira,0,BR,1529374399,86,-9.07,-68.66,66.15,3.74
511,Orange,0,AU,1529374137,94,-33.28,149.1,50.4,12.57
512,Fukue,75,JP,1529371800,83,35.03,136.69,73.4,8.05
513,Iquitos,40,PE,1529373600,94,-3.75,-73.25,71.6,2.62
514,Volgodonsk,0,RU,1529374400,47,47.51,42.17,64.44,3.74
515,Sawakin,68,SD,1529374401,65,19.1,37.33,78.84,2.62
516,Shakhtinsk,0,KZ,1529371800,82,49.71,72.59,57.2,15.66
517,Porbandar,92,IN,1529374401,85,21.64,69.61,83.61,10.78
518,Teguldet,56,RU,1529374402,54,57.31,88.17,72.9,5.19
519,Suba,44,CN,1529374402,73,28.73,103.51,78.21,2.62
520,Hovd,75,NO,1529373000,93,63.83,10.7,48.2,5.82
521,Mao,75,DO,1529373600,94,19.55,-71.08,77,4.7
522,Itapirapua,24,BR,1529374404,52,-15.82,-50.61,69.21,8.43
523,Markivka,20,UA,1529374404,48,49.52,39.57,66.15,3.62
524,Shu,68,KZ,1529374405,52,43.6,73.76,74.7,3.51
525,Barkhan,0,PK,1529374405,45,29.9,69.52,79.38,3.29
526,Tuni,40,BO,1529373600,93,-16.67,-68.14,35.6,6.93
527,Ibipeba,44,BR,1529374406,75,-11.64,-42.01,66.51,10.67
528,Bayir,20,TR,1529371200,88,37.27,28.22,66.2,3.36
529,Petropavlivka,0,UA,1529374407,46,48.46,36.42,62.82,5.75
530,Conde,92,BR,1529374407,100,-11.81,-37.61,72.36,10.45
531,Najran,5,SA,1529370000,20,17.54,44.22,82.4,3.74
532,Bahir Dar,0,ET,1529374407,83,11.59,37.39,49.86,3.18
533,Pokhvistnevo,0,RU,1529374408,44,53.65,52.12,66.6,4.18
534,Rawson,36,AR,1529374408,64,-43.3,-65.11,53.46,11.12
535,Muravlenko,92,RU,1529374351,100,63.79,74.5,56.07,7.31
536,Kaka,0,TM,1529374408,43,37.35,59.62,75.06,1.61
